poi_name,brand,latitude,longitude,shape_surface,postcode,index_to_benchmark_local,footfall_area_id,footfall_index
Bakus,,48.86866,2.32943,1249,75001,1.7003442370469344,891fb46664bffff,0.843634159642804
Le Nelson's,,48.8637,2.34306,1249,75001,1.7003442370469344,891fb4662dbffff,0.82827631301068072
Le Nelson's,,48.8637,2.34306,1249,75001,1.7003442370469344,891fb4662dbffff,0.83725071315824839
Le Passage Saint Honoré,,48.8677,2.33173,565,75001,1.7003442370469344,891fb4675b3ffff,0.82044252273535412
Le Passage Saint Honoré,,48.8677,2.33173,565,75001,1.7003442370469344,891fb4675b3ffff,0.84107606461956841
Restaurants du Monde - AUTOGRILL Carrousel du Louvre,AUTOGRILL,48.86227,2.3344,1249,75001,1.7003442370469344,891fb4675abffff,0.7560026803289589
Restaurants du Monde - AUTOGRILL Carrousel du Louvre,AUTOGRILL,48.86227,2.3344,1249,75001,1.7003442370469344,891fb4675abffff,0.76997311768417231
COJEAN PYRAMIDES,COJEAN,48.86474,2.333,415,75001,1.7003442370469344,891fb4675bbffff,0.77811582609692587
COJEAN PYRAMIDES,COJEAN,48.86474,2.333,415,75001,1.7003442370469344,891fb4675bbffff,0.79622340398133551
Nostrum Paris Pont Neuf,NOSTRUM,48.86057,2.34475,1249,75001,1.7003442370469344,891fb4662cbffff,0.87481220234866974
Nostrum Paris Pont Neuf,NOSTRUM,48.86057,2.34475,1249,75001,1.7003442370469344,891fb4662cbffff,0.88162756454968894
Bliss,,48.86359,2.34364,1249,75001,1.7003442370469344,891fb4662d3ffff,0.82462090948811828
Bliss,,48.86359,2.34364,1249,75001,1.7003442370469344,891fb4662d3ffff,0.83806848783266574
Doner kebab,,48.86035,2.34804,256,75001,1.7003442370469344,891fb4662cfffff,0.86003078152001744
Doner kebab,,48.86035,2.34804,256,75001,1.7003442370469344,891fb4662cfffff,0.86605160640225887
Le Café de l'Epoque,,48.86298,2.33981,463,75001,1.7003442370469344,891fb4675afffff,0.76745832393888413
Le Café de l'Epoque,,48.86298,2.33981,463,75001,1.7003442370469344,891fb4675afffff,0.78862371455225866
